,filename,status,lam,num_eq,loss,MRSE_train,MRSE_test
0,0000,init,0.0,32,0.0014185340741152857,0.0014185340741152857,0.014574348710963575
0,0001,refine,0.0,29,0.0014166184903499192,0.0014166184903499192,0.0147468984749375
0,0002,accept,1e-06,27,0.0014506252306541022,0.001403984566750686,0.014505807216340089
0,0003,refine,1e-06,27,0.001436212700340824,0.0013898690454455832,0.01440296760343453
0,0004,accept,2e-06,27,0.0014812418306722674,0.0013883812562058917,0.014531054561824741
0,0005,accept,4e-06,26,0.0015705547720506596,0.0013860275533053453,0.01435566567338745
0,0006,refine,4e-06,26,0.0015677008017510197,0.0013829758317625502,0.01408460546065673
0,0007,accept,8e-06,25,0.00174309657868235,0.0013823097611078855,0.014011145483661547
0,0008,refine,8e-06,25,0.0017418978503032415,0.0013781388878835001,0.014005321027158405
0,0009,accept,1.6e-05,15,0.0019654593113902414,0.001388638111184593,0.014282151836984731
0,0010,refine,1.6e-05,15,0.0019726983435448234,0.001387319790056839,0.014171490685725064
0,0011,accept,3.2e-05,15,0.002538660609825873,0.0013929756358791363,0.014891008315847276
0,0012,accept,6.4e-05,12,0.0031755079501562264,0.0014572212647690817,0.016867150024765413
0,0013,refine,6.4e-05,12,0.003186740684040364,0.0014560072663231086,0.01623160000727064
0,0014,accept,0.000128,12,0.004894206497699558,0.0014988416680567142,0.017677423841504756
0,0015,accept,0.000256,12,0.00823092851236359,0.0016243568952774656,0.020005951446646533
0,0016,accept,0.000512,10,0.012379642050563156,0.002339720511896541,0.024534976137799903
0,0017,refine,0.000512,10,0.012620684063317,0.00204161766971884,0.016934600838279835
0,0018,accept,0.001024,8,0.019193186504234138,0.006621756490145363,0.05056497848360808
0,0019,refine,0.001024,8,0.019541058049164582,0.006422413453456242,0.055363260730551346
0,0020,accept,0.002048,8,0.031668487453242855,0.006848485297268931,0.048968296015184584
0,0021,accept,0.004096,8,0.0562663520235738,0.007477003914115999,0.04742103974570753
0,0022,accept,0.008192,7,0.10431806772306725,0.009389839094499869,0.04697340997720295
0,0023,refine,0.008192,7,0.11389340266638127,0.006486912553852304,0.05742045058928972
0,0024,accept,0.016384,6,0.19054415589506257,0.0221968084083553,0.03808230363566495
0,0025,refine,0.016384,6,0.21833231244859583,0.012125388326024087,0.03755709192111824
0,0026,finish,0.032768,5,0.27734972796547,0.04064757173517852,0.07228232882349726
0,0027,refine,0.032768,5,0.3237623375159461,0.030871048329649684,0.0740254858974976
